,"Symbol","Name","Exchange","Sector","industry","dividendRate","exDividendDate","lastSplitDate","lastSplitFactor","Buy","Sell","Hold","Previous_Earnings_Date","Expected","Actual","Surprise","Future Earnings Date","daysSinceLastDividend","BBP","Exponential Moving Average","day1","day2","day3","day4"
292,"INFO","IHS Markit Ltd.","NYSE","Technology","Computer Software: Programming, Data Processing",0.68,1596067200,0,0,1,2,3,"2020-06-22",0.67,0.69,3.45,"2020-09-29",-38,0.045646758416535,0.975116713773996,1,1,1,1
293,"INFO","IHS Markit Ltd.","Nasdaq","Technology","Computer Software: Programming, Data Processing",0.68,1596067200,0,0,1,2,3,"2020-06-22",0.67,0.69,3.45,"2020-09-29",-38,0.045646758416535,0.975116713773996,1,1,1,1
294,"VVI","Viad Corp","NYSE","Miscellaneous","Business Services",,1584057600,0,0,1,0,0,"2020-06-22",-0.56,-0.42,25,,101,0.048329548735017,0.318887387214277,1,0,0,0
295,"AVAV","AeroVironment, Inc.","Nasdaq","Capital Goods","Aerospace",,0,0,0,0,0,0,"2020-06-22",0.7,0.75,7.45,"2020-12-08",0,-0.111657274548915,1.14341499230339,1,1,1,0
296,"ELLO","Ellomay Capital Ltd.","AMEX","Public Utilities","Electric Utilities: Central",,1459728000,0,0,0,0,0,"2020-06-22","-","-","-","2020-09-24",1540,,,0,1,1,1
297,"BB","BlackBerry Limited","NYSE","Technology","Computer Software: Prepackaged Software",,0,0,0,0,0,4,"2020-06-23",-0.02,0.02,217.65,,0,0.242905132614072,0.923722607931467,0,0,0,0
298,"DNP","Duff & Phelps Utilities Income, Inc.","NYSE",,,0.78,1601337600,0,0,0,0,0,"2020-06-23","-","-","-","2020-12-23",-98,0.20736309826288,0.903582459298533,0,0,0,0
299,"FUL","H. B. Fuller Company","NYSE","Basic Industries","Home Furnishings",0.66,1595289600,0,0,2,0,2,"2020-06-23",0.55,0.68,22.74,"2020-09-23",-28,0.488826003248422,0.813469245622269,0,0,0,1
300,"KBH","KB Home","NYSE","Capital Goods","Homebuilding",0.36,1596585600,0,0,5,1,5,"2020-06-23",0.52,0.55,5.16,"2020-09-23",-43,0.273092618472557,0.964553099817973,0,0,0,0
301,"WGO","Winnebago Industries, Inc.","NYSE","Consumer Non-Durables","Homebuilding",0.48,1600128000,0,0,6,0,1,"2020-06-23",-0.44,-0.26,41.57,"2020-12-18",-84,0.675706279991145,1.2802687873998,0,1,1,1
302,"CRIS","Curis, Inc.","Nasdaq","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",,0,0,0,0,0,0,"2020-06-23","-","-","-","2020-11-03",0,0.562295134225989,0.602448211981868,0,0,0,0
303,"QMCO","Quantum Corporation","Nasdaq","Technology","Electronic Components",,0,0,0,1,0,0,"2020-06-23",0.01,-0.06,-561.54,"2020-11-03",0,0.175787028739375,0.721578960973471,1,1,1,1
304,"SOHO","Sotherly Hotels Inc.","Nasdaq","Consumer Services","Real Estate Investment Trusts",,1583971200,0,0,0,0,0,"2020-06-23",-0.15,-1.01,-573.33,,103,0.381268968051466,0.49879949179669,0,0,0,0
305,"SOHOO","Sotherly Hotels Inc.","Nasdaq","Consumer Services","Real Estate Investment Trusts",1.97,1585526400,0,0,0,0,0,"2020-06-23",-0.15,-1.01,-573.33,,85,0.449183065520966,0.430714890236814,0,0,0,0
306,"NG","Novagold Resources Inc.","AMEX","Basic Industries","Precious Metals",,0,0,0,1,0,0,"2020-06-23",-0.02,-0.02,"-",,0,-0.587901052581048,1.38528070536973,1,0,1,1
307,"ACN","Accenture plc","NYSE","Miscellaneous","Business Services",3.2,1594771200,0,0,4,1,1,"2020-06-24",1.85,1.9,2.93,"2020-12-17",-21,0.277349245262258,1.03061292218135,0,0,0,1
308,"CORR","CorEnergy Infrastructure Trust, Inc.","NYSE","Consumer Services","Real Estate Investment Trusts",0.2,1597363200,0,0,0,1,1,"2020-06-24",-12.2,-12.04,1.31,,-51,-0.017908199708432,0.274935508250846,0,0,0,0
309,"DRI","Darden Restaurants, Inc.","NYSE","Consumer Services","Restaurants",,1578528000,0,0,11,0,7,"2020-06-24",-1.64,-1.24,24.62,"2020-12-17",167,-0.625870417744935,0.675214415901601,0,0,0,1
310,"EPAC","Enerpac Tool Group Corp.","NYSE","Technology","Industrial Machinery/Components",0.04,1601510400,0,0,0,0,0,"2020-06-24",0.11,-0.06,-154.55,"2020-12-17",-99,-0.139285350466938,0.737578484493055,1,0,1,1
311,"FDS","FactSet Research Systems Inc.","NYSE","Technology","Computer Software: Programming, Data Processing",3.08,1598572800,0,0,0,1,2,"2020-06-24",2.43,2.86,17.55,"2020-12-17",-65,-0.031136368126531,1.15914145159675,1,1,1,1
312,"MKC","McCormick & Company, Incorporated","NYSE","Consumer Non-Durables","Packaged Foods",2.48,1593648000,0,0,1,2,5,"2020-06-24",1.16,1.47,27.27,"2020-09-29",-8,0.410362878108651,1.0449014382436,0,0,0,0
313,"NKE","Nike, Inc.","NYSE","Consumer Non-Durables","Shoe Manufacturing",0.98,1598572800,0,0,8,0,1,"2020-06-24",0.07,-0.51,-861.19,"2020-12-17",-65,0.043917018038121,1.07130918502945,0,0,1,1
314,"RAD","Rite Aid Corporation","NYSE","Health Care","Medical/Nursing Services",,939859200,0,0,0,0,1,"2020-06-24",-0.38,-0.04,89.47,,7559,-0.552120323006409,1.36820406497848,1,0,1,1
315,"SNX","Synnex Corporation","NYSE","Technology","Retail: Computer Software & Peripheral Equipment",,1579737600,0,0,0,0,0,"2020-06-24",-0.77,1.83,338.59,"2020-09-22",153,-0.49247848978952,0.851777825880252,0,1,1,1
316,"WOR","Worthington Industries, Inc.","NYSE","Capital Goods","Steel/Iron Ore",1,1600041600,0,0,0,0,0,"2020-06-24",0.26,0.49,92.16,"2020-12-15",-82,0.429422374213218,0.890992081673615,0,0,0,1
317,"CAMP","CalAmp Corp.","Nasdaq","Technology","Radio And Television Broadcasting And Communications Equipment",,0,0,0,1,0,0,"2020-06-24",-0.05,0.02,137.04,"2020-12-17",0,0.140719082492842,0.736079884032731,0,1,0,0
318,"FORD","Forward Industries, Inc.","Nasdaq","Consumer Non-Durables","Plastic Products",,0,0,0,0,0,0,"2020-06-24","-","-","-",,0,0.791759854436315,1.24983501119426,1,1,1,1
319,"IDXG","Interpace Biosciences, Inc.","Nasdaq","Health Care","Medical/Dental Instruments",,0,0,0,1,0,0,"2020-06-24",-1.24,-2.32,-87.1,,0,0.01570038049054,1.09666664017571,0,0,0,1
320,"PRGS","Progress Software Corporation","Nasdaq","Technology","Computer Software: Prepackaged Software",0.66,1598832000,0,0,1,0,0,"2020-06-24",0.64,0.63,-0.79,"2020-09-24",-68,-0.592093893352137,0.966132985545691,0,0,0,0
321,"RDI","Reading International Inc","Nasdaq","Consumer Services","Movies/Entertainment",,0,0,0,0,0,0,"2020-06-24",-0.24,-0.27,-14.41,,0,0.213183333717294,0.356328140796412,1,1,1,0
322,"RDIB","Reading International Inc","Nasdaq","Consumer Services","Movies/Entertainment",,0,0,0,0,0,0,"2020-06-24",-0.24,-0.27,-14.41,,0,-0.179511817686843,0.695916675196753,0,1,0,0
323,"SHIP","Seanergy Maritime Holdings Corp","Nasdaq","Transportation","Marine Transportation",,1215388800,1,0.0625,0,0,0,"2020-06-24",-5.04,-4.96,1.59,"2020-11-03",4370,0.510662290920927,0.341134756506254,1,1,1,1
324,"SHIPW","Seanergy Maritime Holdings Corp","Nasdaq","Transportation","Marine Transportation",,0,0,0,0,0,0,"2020-06-24",-5.04,-4.96,1.59,,0,,,0,0,0,0
325,"SOHOB","Sotherly Hotels Inc.","Nasdaq","Consumer Services","Real Estate Investment Trusts",2,1585526400,0,0,0,0,0,"2020-06-24","-","-","-","2020-11-10",86,0.303062498547596,0.425752706971882,0,0,0,0
326,"TZOO","Travelzoo","Nasdaq","Consumer Services","Advertising",,0,0,0,0,0,0,"2020-06-24","-",-0.09,"-",,0,0.245805707729523,0.647674446936648,0,0,0,0
327,"UFAB","Unique Fabricating, Inc.","AMEX","Capital Goods","Auto Parts:O.E.M.",,1551225600,0,0,0,0,0,"2020-06-24",0.03,-0.12,-500,,483,0.646529446351811,1.07492195807514,0,0,0,1
328,"WUBA","58.com Inc.","NYSE","Technology","Computer Software: Programming, Data Processing",,0,0,0,0,0,0,"2020-06-25",-0.04,2.09,4744.44,"2020-11-16",0,0.839619496437121,0.842812149607535,1,1,0,0
329,"AIH","Aesthetic Medical International Holdings Group Ltd.","Nasdaq","Health Care","Medical Specialities",,0,0,0,0,0,0,"2020-06-25",0.07,-2.69,-3888.73,,0,-0.718938023803629,1.05196076682702,1,1,0,0
330,"API","Agora, Inc.","Nasdaq","Technology","Computer Software: Prepackaged Software",,0,0,0,0,0,0,"2020-06-25","-","-","-",,0,,,0,0,0,0
331,"APOG","Apogee Enterprises, Inc.","Nasdaq","Capital Goods","Auto Parts:O.E.M.",0.75,1594598400,0,0,0,0,1,"2020-06-25",0.2,0.15,-25.37,"2020-12-17",-18,-0.040209119237142,0.5990330767689,0,0,0,0
332,"FUSN","Fusion Pharmaceuticals Inc.","Nasdaq","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",,0,0,0,0,0,0,"2020-06-25","-","-","-",,0,,,0,0,0,0
333,"EYES","Second Sight Medical Products, Inc.","Nasdaq","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus",,0,0,0,0,0,0,"2020-06-25",-0.41,-0.57,-39.02,,0,-0.09945883842753,0.152878785261849,1,1,1,0
334,"STRS","Stratus Properties Inc.","Nasdaq","Consumer Services","Homebuilding",,1490745600,0,0,0,0,0,"2020-06-25","-","-","-",,1184,0.270525839086929,0.625515391147734,0,0,0,0
335,"IMH","Impac Mortgage Holdings, Inc.","AMEX","Consumer Services","Real Estate Investment Trusts",,1175644800,0,0,0,0,0,"2020-06-25","-","-","-",,4831,0.054768201498818,0.322639354367927,1,0,0,0
336,"MXC","Mexco Energy Corporation","AMEX","Energy","Oil & Gas Production",,0,0,0,0,0,0,"2020-06-25","-","-","-",,0,0.306530439706927,0.941937772962782,1,0,0,0
337,"LWAY","Lifeway Foods, Inc.","Nasdaq","Consumer Non-Durables","Packaged Foods",,1369785600,0,0,0,0,0,"2020-06-26","-","-","-","2020-11-12",2585,-0.1362150623423,1.20954775749756,0,1,1,1
338,"GLG","TD Holdings, Inc.","Nasdaq","Finance","Major Banks",,0,0,0,0,0,0,"2020-06-26","-","-","-",,0,1.70972082306774,1.81326527699454,0,0,0,0
339,"AYI","Acuity Brands, Inc. ","NYSE","Consumer Durables","Building Products",0.52,1594857600,0,0,5,1,2,"2020-06-29",1.22,1.94,59.15,"2020-10-08",-17,-0.472826700444727,0.727258825040234,1,0,0,0
340,"NFJ","AllianzGI Dividend, Interest & Premium Strategy Fu","NYSE","Finance","Finance: Consumer Services",0.9,1591920000,0,0,0,0,0,"2020-06-29","-","-","-","2020-09-21",17,0.119792799098418,0.929354200958092,1,0,0,0
341,"CAG","ConAgra Brands, Inc.","NYSE","Consumer Non-Durables","Packaged Foods",0.85,1596412800,0,0,2,0,4,"2020-06-29",0.66,0.75,14.33,"2020-12-17",-35,0.466243864045406,1.18905307660571,0,0,0,0
342,"FDX","FedEx Corporation","NYSE","Transportation","Air Freight/Delivery Services",2.6,1599091200,0,0,4,0,4,"2020-06-29",1.52,2.53,66.78,"2020-12-17",-66,0.140206140739723,0.857851826460389,1,0,0,0
343,"FPF","First Trust Intermediate Duration Preferred & Income Fund","NYSE",,,,0,0,0,,,,"2020-06-29","-","-","-",,0,0.091564976400138,0.905629596333145,1,0,0,0
344,"BIMI","BOQI International Medical Inc.","Nasdaq","Capital Goods","Metal Fabrications",,0,0,0,0,0,0,"2020-06-29","-","-","-","2020-11-13",0,0.360989616664349,1.02242425282796,1,1,0,0
345,"CNET","ChinaNet Online Holdings, Inc.","Nasdaq","Technology","Computer Software: Programming, Data Processing",,0,0,0,0,0,0,"2020-06-29","-","-","-",,0,0.569800760422298,0.904273534317486,1,1,0,0
346,"CCNC","Code Chain New Continent Limited","Nasdaq","Finance","Business Services",,0,0,0,0,0,0,"2020-06-29","-","-","-",,0,-0.506409336460209,2.45696307866056,0,1,1,0
347,"XELA","Exela Technologies, Inc.","Nasdaq","Miscellaneous","Business Services",,0,0,0,0,0,0,"2020-06-29",-0.05,-0.08,-60,,0,0.213780508725032,1.48108343003732,1,0,1,1
348,"GTEC","Greenland Technologies Holding Corporation","Nasdaq","Technology","Industrial Machinery/Components",,0,0,0,0,0,0,"2020-06-29","-","-","-",,0,0.549665204698701,0.360927363544255,1,0,0,0
349,"HEPA","Hepion Pharmaceuticals, Inc.","Nasdaq","Health Care","Major Pharmaceuticals",,0,0,0,0,0,0,"2020-06-29",-0.25,-0.97,-288,,0,0.82298425544016,0.624679683967201,1,1,1,1
350,"HTHT","Huazhu Group Limited","Nasdaq","Consumer Services","Hotels/Resorts",0.34,1578528000,0,0,0,0,0,"2020-06-29",-1.63,-3.85,-136.2,,172,0.145155226833836,1.04140668414122,1,1,0,0
351,"NAOV","NanoVibronix, Inc.","Nasdaq","Health Care","Industrial Specialties",,0,0,0,0,0,0,"2020-06-29","-","-","-",,0,,,0,0,1,1
352,"PBIO","Pressure BioSciences, Inc.","Nasdaq",,,,0,0,0,0,0,0,"2020-06-29","-","-","-",,0,-0.553869233891959,1.92026664733887,1,0,0,1
353,"PNRG","PrimeEnergy Resources Corporation","Nasdaq","Energy","Oil & Gas Production",,0,0,0,0,0,0,"2020-06-29","-","-","-",,0,0.026421470573524,0.563507922014091,1,0,0,0
354,"SRGA","Surgalign Holdings, Inc.","Nasdaq","Health Care","Industrial Specialties",,0,0,0,0,0,0,"2020-06-29",-0.05,-0.24,-352.83,,0,,,0,0,0,0
355,"CTIB","Yunhong CTI Ltd.","Nasdaq","Basic Industries","Specialty Chemicals",,1310601600,0,0,0,0,0,"2020-06-29","-","-","-",,3273,0.256108359070879,3.59685558865925,1,1,1,1
356,"NES","Nuverra Environmental Solutions, Inc.","AMEX","Energy","Oilfield Services/Equipment",,0,0,0,0,0,0,"2020-06-29","-","-","-",,0,0.539276153615184,0.651412801140957,0,0,1,0
357,"TKAT","Takung Art Co., Ltd.","AMEX","Consumer Services","Other Specialty Stores",,0,0,0,0,0,0,"2020-06-29","-","-","-",,0,-0.228679640861904,2.73480002880096,0,0,0,0
358,"CPRI","Capri Holdings Limited","NYSE","Consumer Non-Durables","Apparel",,0,0,0,2,0,3,"2020-06-30",0.14,0.11,-24.14,,0,-0.361888715077973,0.46051580636336,0,0,0,0
359,"STZ","Constellation Brands Inc","NYSE","Consumer Non-Durables","Beverages (Production/Distribution)",3,1597017600,0,0,7,0,4,"2020-06-30",2.01,2.3,14.37,"2020-09-29",-41,0.310898943805405,0.979815979885892,0,0,0,0
360,"GIS","General Mills, Inc.","NYSE","Consumer Non-Durables","Packaged Foods",1.96,1594252800,0,0,4,1,2,"2020-06-30",1.06,1.1,3.68,"2020-12-16",-9,-0.38017425273457,1.18688553730569,0,0,0,0
361,"UNF","Unifirst Corporation","NYSE","Consumer Services","Other Consumer Services",1,1599091200,0,0,0,0,1,"2020-06-30",1.25,1.12,-10.4,"2020-10-21",-65,-0.259536033078081,0.865001089120368,0,0,0,1
362,"KALV","KalVista Pharmaceuticals, Inc.","Nasdaq","Health Care","Major Pharmaceuticals",,0,0,0,0,0,0,"2020-06-30",-0.65,-0.37,43.25,"2020-12-01",0,1.24838987818483,0.846452863361898,0,0,0,0
363,"SCHN","Schnitzer Steel Industries, Inc.","Nasdaq","Consumer Durables","Industrial Specialties",0.75,1596758400,0,0,0,0,0,"2020-06-30",-0.12,0.05,140,"2020-10-19",-38,0.345717760303002,0.798216013828769,0,0,0,0
364,"DPW","DPW Holdings, Inc.","AMEX","Capital Goods","Industrial Machinery/Components",,0,0,0,0,0,0,"2020-06-30","-","-","-",,0,0.256928713394631,2.51646594622603,0,0,0,0
365,"DNB","Dun & Bradstreet Holdings, Inc.","NYSE","Finance","Finance: Consumer Services",,0,0,0,0,0,0,"2020-07-01","-","-","-",,0,,,0,0,0,0
366,"LMND","Lemonade, Inc.","NYSE","Finance","Property-Casualty Insurers",,0,0,0,0,0,0,"2020-07-01","-","-","-",,0,,,0,0,0,0
367,"LNN","Lindsay Corporation","NYSE","Capital Goods","Industrial Machinery/Components",1.28,1597363200,0,0,0,0,0,"2020-07-01",0.88,0.93,5.44,"2020-10-27",-44,-0.714144275497169,1.03313424212039,1,0,1,1
368,"LONE","Lonestar Resources US Inc.","Nasdaq","Energy","Oil & Gas Production",,0,0,0,0,0,0,"2020-07-01",-0.1,-0.31,-219.59,,0,-0.348938737112643,0.342666672666868,1,0,0,0
369,"SENEA","Seneca Foods Corp.","Nasdaq","Consumer Non-Durables","Packaged Foods",,0,0,0,0,0,0,"2020-07-01","-","-","-",,0,-0.585240783426008,0.880003533218452,1,1,1,1
370,"SENEB","Seneca Foods Corp.","Nasdaq","Consumer Non-Durables","Packaged Foods",,341539200,0,0,0,0,0,"2020-07-01","-","-","-","2020-11-04",14491,-0.366315812887336,0.932162169722823,1,0,0,0
371,"TC","TuanChe Limited","Nasdaq","Miscellaneous","Business Services",,0,0,0,0,0,0,"2020-07-01",-0.85,-0.68,19.81,,0,0.239912215432948,0.596787140499813,1,1,1,1
372,"MOHO","ECMOHO Limited","Nasdaq","Consumer Services","Catalog/Specialty Distribution",,0,0,0,0,0,0,"2020-07-02",-0.13,-0.12,7.69,,0,-0.259242042643916,0.333359115030999,0,0,0,0
373,"TV","Grupo Televisa S.A.","NYSE","Consumer Services","Broadcasting",,1559088000,0,0,0,0,0,"2020-07-06",0.02,0.12,629.41,,404,-0.803504966348584,0.515156965959613,,,,
374,"LEVI","Levi Strauss & Co","NYSE","Consumer Non-Durables","Apparel",0.31,1587600000,0,0,2,0,1,"2020-07-06",-0.49,-0.48,2.44,,74,-0.932662721744565,0.804108641316069,,,,
375,"SBH","Sally Beauty Holdings, Inc.","NYSE","Consumer Services","Other Specialty Stores",,0,0,0,1,1,2,"2020-07-06",-0.05,-0.11,-120,"2020-11-05",0,-0.695119951078795,0.712308505630313,,,,
376,"ASPU","Aspen Group Inc.","Nasdaq","Consumer Services","Other Consumer Services",,0,0,0,0,0,0,"2020-07-06",-0.05,-0.03,34.78,"2020-09-14",0,-0.776151575777202,1.34351986606052,,,,
377,"CHSCP","CHS Inc","Nasdaq","Consumer Services","Farming/Seeds/Milling",2,1592179200,0,0,0,0,0,"2020-07-06","-","-","-",,21,-0.435150643855658,1.07496129014012,,,,
378,"ORMP","Oramed Pharmaceuticals Inc.","Nasdaq","Health Care","Major Pharmaceuticals",,0,0,0,1,0,0,"2020-07-06",-0.17,-0.1,40.48,,0,-0.284931750709477,1.2988263285421,,,,
379,"PAYX","Paychex, Inc.","Nasdaq","Consumer Services","Diversified Commercial Services",2.48,1596153600,0,0,0,0,3,"2020-07-06",0.6,0.61,1.33,"2020-12-16",-25,-0.616052065407513,0.885516186904961,,,,
380,"PCYO","Pure Cycle Corporation","Nasdaq","Public Utilities","Water Supply",,0,0,0,0,0,0,"2020-07-06","-","-","-",,0,-0.932262077543575,0.757000540749252,,,,
381,"SGH","SMART Global Holdings, Inc.","Nasdaq","Technology","Semiconductors",,0,0,0,1,0,1,"2020-07-06",0.67,0.7,4.17,,0,-0.669576832375807,0.828924505646852,,,,
382,"JE","Just Energy Group, Inc.","NYSE","Public Utilities","Oil/Gas Transmission",,1560470400,0,0,0,0,0,"2020-07-07","-",-0.97,"-",,389,-0.221360517743112,0.205472627753731,,,,
383,"MSM","MSC Industrial Direct Company, Inc.","NYSE","Capital Goods","Industrial Machinery/Components",3,1594598400,0,0,3,0,3,"2020-07-07",1.16,1.4,20.48,"2020-10-27",-6,-0.200791910243717,1.05489105693574,,,,
384,"NVG","Nuveen AMT-Free Municipal Credit Income Fund","NYSE",,,0.79,1597276800,0,0,0,0,0,"2020-07-07","-","-","-",,-37,-0.429045781258904,0.974004698987717,,,,
385,"NEA","Nuveen AMT-Free Quality Municipal Income Fund","NYSE",,,0.68,1597276800,0,0,0,0,0,"2020-07-07","-","-","-",,-37,0.413612693745624,1.00922502307763,,,,
386,"NZF","Nuveen Municipal Credit Income Fund","NYSE",,,0.75,1597276800,0,0,0,0,0,"2020-07-07","-","-","-",,-37,0.277260920009581,0.939129791742771,,,,
387,"SAR","Saratoga Investment Corp","NYSE",,,1.6,1595548800,0,0,2,0,0,"2020-07-07",-1.38,-2.02,-46.8,,-17,-0.403595303025051,0.659379604221129,,,,
388,"AMYT","Amryt Pharma plc","Nasdaq","Health Care","Major Pharmaceuticals",,0,0,0,0,0,0,"2020-07-07","-","-","-",,0,,,,,,
389,"BBBY","Bed Bath & Beyond Inc.","Nasdaq","Consumer Services","Home Furnishings",0.68,1583971200,0,0,3,2,3,"2020-07-07",-1.22,-1.96,-60.39,"2020-10-01",117,0.848671577316587,0.733829896001716,,,,
390,"EXFO","EXFO Inc","Nasdaq","Capital Goods","Electrical Products",,0,0,0,1,0,1,"2020-07-07",-0.03,0.1,433.33,,0,-0.512324694415951,0.659507327361086,,,,
391,"FTFT","Future FinTech Group Inc.","Nasdaq","Consumer Non-Durables","Packaged Foods",,0,0,0,0,0,0,"2020-07-07","-","-","-","2020-12-07",0,0.241981885442526,2.06603786387138,,,,
392,"NTIC","Northern Technologies International Corporation","Nasdaq","Capital Goods","Industrial Specialties",,1580774400,0,0,1,0,0,"2020-07-07",-0.06,-0.11,-83.33,,154,0.039661895458884,0.677183579560552,,,,
393,"SMPL","The Simply Good Foods Company","Nasdaq","Consumer Non-Durables","Packaged Foods",,0,0,0,0,0,0,"2020-07-07",0.15,0.26,68.83,"2020-10-27",0,0.700645969003028,0.666519306508801,,,,
394,"CCF","Chase Corporation","AMEX","Consumer Durables","Building Products",0.8,1574640000,0,0,0,0,0,"2020-07-07","-","-","-",,225,-0.019416541980256,0.870296086131999,,,,
395,"TMQ","Trilogy Metals Inc.","AMEX","Basic Industries","Precious Metals",,0,0,0,0,0,0,"2020-07-07",-0.01,-0.02,-42.86,,0,-0.043031825287508,1.03138297001026,,,,
396,"AZZ","AZZ Inc.","NYSE","Consumer Durables","Building Products",0.68,1594944000,0,0,0,0,0,"2020-07-08",0.62,0.21,-65.85,"2020-12-03",-9,0.071067333862793,0.906876293477876,,,,
397,"FC","Franklin Covey Company","NYSE","Consumer Services","Other Consumer Services",,0,0,0,0,0,0,"2020-07-08",-0.3,-0.79,-165.1,,0,-0.421681516962634,0.585927705196358,,,,
398,"PKE","Park Aerospace Corp.","NYSE","Capital Goods","Military/Government/Technical",0.4,1593561600,0,0,0,0,0,"2020-07-08","-","-","-","2020-10-08",7,-0.31755859198953,0.759281560453416,,,,
399,"BSET","Bassett Furniture Industries, Incorporated","Nasdaq","Consumer Durables","Home Furnishings",0.32,1597276800,0,0,0,0,0,"2020-07-08",-0.58,-2.04,-251.12,,-36,0.066361549027636,0.484139626391151,,,,
400,"GRIF","Griffin Industrial Realty, Inc.","Nasdaq","Finance","Real Estate",0.5,1575504000,0,0,0,0,0,"2020-07-08","-","-","-",,216,0.40309892911377,1.32209647859789,,,,
401,"HELE","Helen of Troy Limited","Nasdaq","Consumer Durables","Home Furnishings",,0,0,0,3,0,0,"2020-07-08",1.49,2.53,69.57,"2020-10-06",0,0.841247692534942,1.15400157114199,,,,
402,"PSMT","PriceSmart, Inc.","Nasdaq","Consumer Services","Department/Specialty Retail Stores",0.7,1597276800,0,0,0,0,1,"2020-07-08",0.27,0.41,54.72,,-36,0.830225842869681,0.780422788963459,,,,
403,"SLP","Simulations Plus, Inc.","Nasdaq","Technology","EDP Services",0.24,1595548800,0,0,0,0,0,"2020-07-08",0.1,0.16,68.42,,-16,0.789355677734017,1.60147107284375,,,,
404,"WBA","Walgreens Boots Alliance, Inc.","Nasdaq","Health Care","Medical/Nursing Services",1.87,1597708800,0,0,0,0,2,"2020-07-08",1.17,0.83,-29.06,"2020-10-26",-41,-0.167411467667127,0.719684137473518,,,,
405,"WDFC","WD-40 Company","Nasdaq","Basic Industries","Major Chemicals",2.68,1594857600,0,0,1,0,0,"2020-07-08",1.08,1.06,-1.4,"2020-10-15",-8,0.849720349177576,1.02455087915144,,,,
406,"CCL","Carnival Corporation","NYSE","Consumer Services","Marine Transportation",,1582156800,0,0,1,2,3,"2020-07-09",-2.26,-3.3,-45.82,,140,-0.473325982947721,0.408162020830883,,,,
407,"CUK","Carnival Corporation","NYSE","Consumer Services","Marine Transportation",2,1582156800,0,0,0,0,0,"2020-07-09",-2.26,-3.3,-45.82,"2020-12-18",140,-0.549741478245458,0.351008396247508,,,,
408,"GBX","Greenbrier Companies, Inc. (The)","NYSE","Capital Goods","Railroads",1.08,1595894400,0,0,1,0,0,"2020-07-09",0.14,1.05,666.42,"2020-10-23",-19,-0.369630187273928,0.805465752245229,,,,
409,"SJR","Shaw Communications Inc.","NYSE","Consumer Services","Television Services",0.87,1600041600,0,0,0,0,1,"2020-07-09",0.3,0.35,17.45,,-67,-0.476192112251664,0.849006858791952,,,,
410,"TRNO","Terreno Realty Corporation","NYSE","Finance","Real Estate",1.16,1601510400,0,0,1,0,1,"2020-07-09",0.24,0.45,87.5,,-84,0.564464243837386,0.95610472121301,,,,
411,"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","Nasdaq","Capital Goods","Industrial Machinery/Components",,1423526400,0,0,0,0,0,"2020-07-09","-","-","-","2020-10-07",1976,-0.082306477949448,1.24938917512642,,,,
412,"CPST","Capstone Turbine Corporation","Nasdaq","Energy","Industrial Machinery/Components",,0,0,0,0,0,0,"2020-07-09",-0.21,-0.17,19.05,,0,1.48332416488524,0.747731252658934,,,,
413,"LOACU","Longevity Acquisition Corporation","Nasdaq","Finance","Business Services",,0,0,0,,,,"2020-07-09","-","-","-","2020-10-14",0,,0.985781936540977,,,,
414,"QH","Quhuo Limited","Nasdaq","Miscellaneous","Business Services",,0,0,0,0,0,0,"2020-07-09","-","-","-",,0,,,,,,
415,"LEDS","SemiLEDS Corporation","Nasdaq","Technology","Semiconductors",,0,0,0,0,0,0,"2020-07-09","-","-","-",,0,0.233298259695751,1.43813811201485,,,,
416,"AIHS","Senmiao Technology Limited","Nasdaq","Finance","Finance: Consumer Services",,0,0,0,0,0,0,"2020-07-09","-","-","-",,0,0.56704924045499,1.01015146984597,,,,
417,"SNOA","Sonoma Pharmaceuticals, Inc.","Nasdaq","Health Care","Major Pharmaceuticals",,0,0,0,0,0,0,"2020-07-09","-",-0.77,"-",,0,-0.224908913463298,1.73309066719319,,,,
418,"HL","Hecla Mining Company","NYSE","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)",0.01,1597708800,0,0,1,1,3,"2020-07-10","-",0.01,"-","2020-11-05",-39,0.324509228962477,1.33149830782658,,,,
419,"CJJD","China Jo-Jo Drugstores, Inc.","Nasdaq","Health Care","Medical/Nursing Services",,0,0,0,0,0,0,"2020-07-10","-","-","-",,0,-0.65843347186821,1.16165408948949,,,,
420,"AMX","America Movil, S.A.B. de C.V.","NYSE","Public Utilities","Telecommunications Equipment",0.34,1592352000,0,0,1,0,0,"2020-07-13",0.32,0.26,-18.24,,26,0.132767008167414,0.865475111778571,0,0,0,0
421,"C","Citigroup Inc.","NYSE","Finance","Major Banks",2.04,1596153600,0,0,6,0,0,"2020-07-13",0.28,0.5,79.86,"2020-10-13",-18,-0.133129492108088,0.70910910529817,0,0,0,1
422,"DAL","Delta Air Lines, Inc.","NYSE","Transportation","Air Freight/Delivery Services",,1582070400,0,0,4,0,0,"2020-07-13",-4.07,-4.43,-8.82,"2020-10-08",145,-0.261448482695689,0.527155335009176,0,0,0,0
